user_email,family_size,house_type,district,milk_packets,deliveries,oil_type,bottles,segregation,food_waste,compost,garden_waste,old_devices,batteries,disposal_method,plastic_waste_kg,bio_waste_kg,ewaste_kg,monthly_waste_kg
0.0,0.3333333333333333,0.0,0.6923076923076923,0.3333333333333333,0.4444444444444445,1.0,0.0,0.0,0.0,0.6000000000000001,0.0,1.0,0.0,0.0,0.07222222222222222,10.0,1.5,12.108888888888888
0.5555,0.3333333333333333,0.0,0.3846153846153846,0.3333333333333333,0.9444444444444444,0.5,1.0,0.5,0.0,0.2,0.0,0.0,0.6666666666666666,0.0,0.09722222222222221,10.0,0.0,10.213888888888889
0.6115,0.3333333333333333,0.5,0.4615384615384615,0.1666666666666666,0.9444444444444444,0.5,1.0,1.0,0.0,0.2,0.6666666666666666,0.0,0.3333333333333333,0.0,0.07222222222222222,10.0,0.0,10.158888888888889
0.667,0.6666666666666666,1.0,0.6153846153846154,0.6666666666666666,0.8333333333333333,1.0,0.3333333333333333,0.0,0.0,0.4,0.3333333333333333,0.0,1.0,0.3333333333333333,0.14166666666666666,10.0,0.0,10.311666666666667
0.7225,0.6666666666666666,0.5,0.6153846153846154,0.6666666666666666,0.2777777777777777,0.0,1.0,0.5,0.0,1.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.11388888888888887,10.0,0.0,10.250555555555556
0.778,0.6666666666666666,0.5,0.2307692307692307,0.6666666666666666,0.3888888888888889,0.5,0.6666666666666666,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.11944444444444442,10.0,0.0,10.262777777777778
0.8335,0.3333333333333333,0.0,0.7692307692307693,0.1666666666666666,0.1666666666666666,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.03333333333333332,10.0,0.0,10.073333333333334
0.889,0.3333333333333333,0.0,0.3076923076923077,0.3333333333333333,0.7777777777777777,0.0,0.6666666666666666,1.0,0.0,0.0,1.0,0.0,0.6666666666666666,0.6666666666666666,0.08888888888888889,10.0,0.0,10.195555555555556
0.9445,0.3333333333333333,0.5,0.9230769230769232,0.5,0.0,0.5,1.0,1.0,0.0,0.6000000000000001,0.6666666666666666,0.0,1.0,0.3333333333333333,0.075,10.0,0.0,10.165
1.0,0.6666666666666666,0.0,0.1538461538461538,0.5,0.8888888888888888,1.0,0.0,1.0,0.0,0.4,0.3333333333333333,0.0833333333333333,0.3333333333333333,0.0,0.11944444444444444,10.0,0.12499999999999994,10.425277777777778
0.0555,0.0,0.5,0.1538461538461538,0.0,0.5555555555555556,0.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.02777777777777778,10.0,0.0,10.061111111111112
0.111,1.0,0.0,0.3846153846153846,1.0,0.3888888888888889,1.0,0.6666666666666666,0.5,0.0,0.2,0.6666666666666666,0.0833333333333333,0.0,0.3333333333333333,0.16944444444444445,10.0,0.12499999999999994,10.535277777777777
0.1665,0.6666666666666666,0.5,1.0,0.5,0.3888888888888889,1.0,0.0,0.5,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.09444444444444444,10.0,0.0,10.207777777777778
0.222,0.3333333333333333,0.0,0.4615384615384615,0.5,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.125,10.0,0.0,10.275
0.2775,0.6666666666666666,0.5,0.7692307692307693,0.5,0.9444444444444444,0.5,1.0,1.0,0.0,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.12222222222222223,10.0,0.0,10.268888888888888
0.333,0.6666666666666666,0.5,0.8461538461538463,0.5,0.3333333333333333,1.0,0.6666666666666666,1.0,0.0,0.2,0.6666666666666666,0.0,0.0,0.3333333333333333,0.09166666666666666,10.0,0.0,10.201666666666666
0.3885,0.6666666666666666,0.5,0.5384615384615385,0.6666666666666666,0.8888888888888888,0.0,0.0,1.0,0.0,1.0,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.14444444444444443,10.0,0.0,10.317777777777778
0.444,0.3333333333333333,0.5,0.0,0.1666666666666666,0.0,1.0,0.3333333333333333,1.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,1.0,0.024999999999999994,10.0,0.0,10.055
0.4995,0.3333333333333333,1.0,0.6153846153846154,0.5,0.2222222222222222,0.5,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.08611111111111111,10.0,0.0,10.189444444444444
0.555,0.3333333333333333,0.5,1.0,0.1666666666666666,0.8333333333333333,0.5,0.3333333333333333,1.0,0.0,0.6000000000000001,0.6666666666666666,0.0,0.0,1.0,0.06666666666666665,10.0,0.0,10.146666666666667
0.5615,0.6666666666666666,1.0,0.0769230769230769,0.6666666666666666,0.0555555555555555,0.5,0.0,0.0,0.0,1.0,0.6666666666666666,0.0,0.6666666666666666,1.0,0.10277777777777776,10.0,0.0,10.226111111111111
0.5670000000000001,0.0,1.0,0.0,0.0,0.5555555555555556,1.0,0.0,0.0,0.0,0.2,0.3333333333333333,0.0,0.0,0.6666666666666666,0.02777777777777778,10.0,0.0,10.061111111111112
0.5725,0.3333333333333333,0.0,0.1538461538461538,0.3333333333333333,0.5555555555555556,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.07777777777777777,10.0,0.0,10.171111111111111
