family_size,house_type,district,milk_packets,deliveries,oil_type,bottles,segregation,food_waste,compost,garden_waste,old_devices,batteries,disposal_method,family_size_encoded,batteries_encoded,fraud_probability,fraud_flag
0.0,0,5,1.0758587650106615,-0.2807491781105544,2,0.0,never,0.0,collector,0.0,-0.7387015013495069,0.0,1,3,0,71.98,1
0.0,2,8,0.7106388161522366,-1.3609827707081181,0,0.0,sometimes,0.0,community,0.0,-1.384093339370655,0.0,1,3,1,73.47,1
0.0,1,4,1.0758587650106615,0.7994844144870095,1,0.0,always,0.0,biomethanation,0.0,-1.384093339370655,0.0,0,3,0,71.24,1
0.0,0,7,0.7106388161522366,-0.8980255167377337,1,0.0,always,0.0,biomethanation,0.0,-1.384093339370655,0.0,1,3,3,74.07,1
0.0,1,11,-1.1154609281398882,-0.2807491781105544,2,0.0,sometimes,0.0,biomethanation,0.0,-1.384093339370655,0.0,1,0,3,79.49,1
0.0,2,13,1.0758587650106615,-0.7437064320809389,0,0.0,never,0.0,biomethanation,0.0,-1.384093339370655,0.0,3,3,2,72.9,1
0.0,1,6,0.7106388161522366,-1.3609827707081181,0,0.0,never,0.0,collector,0.0,-1.384093339370655,0.0,0,3,0,77.68,1
0.0,2,5,1.0758587650106615,-1.3609827707081181,1,0.0,sometimes,0.0,biomethanation,0.0,-0.7387015013495069,0.0,3,3,0,87.34,1
0.0,2,7,0.7106388161522366,0.7994844144870095,1,0.0,sometimes,0.0,collector,0.0,-1.384093339370655,0.0,0,3,3,76.31,1
0.0,2,11,-0.7502409792814632,-1.3609827707081181,1,0.0,never,0.0,biomethanation,0.0,-1.384093339370655,0.0,1,0,3,83.92,1
0.0,0,9,0.7106388161522366,1.108122583800599,0,0.0,sometimes,0.0,collector,0.0,-1.384093339370655,0.0,2,3,3,76.99,1
0.0,0,13,-1.1154609281398882,1.2624416684573938,0,0.0,never,0.0,mixed,0.0,-1.384093339370655,0.0,1,0,3,90.57,1
0.0,0,11,-1.1154609281398882,1.4167607531141888,0,0.0,never,0.0,biomethanation,0.0,-1.384093339370655,0.0,0,0,0,87.75,1
0.0,2,12,1.0758587650106615,-0.8980255167377337,2,0.0,never,0.0,biomethanation,0.0,-1.384093339370655,0.0,1,3,0,72.17,1
0.0,1,8,1.0758587650106615,0.7994844144870095,2,0.0,always,0.0,collector,0.0,-1.384093339370655,0.0,0,3,0,71.24,1
0.0,0,13,1.0758587650106615,0.9538034991438042,0,0.0,never,0.0,biomethanation,0.0,-1.384093339370655,0.0,3,3,0,72.7,1
0.0,0,7,1.0758587650106615,-1.3609827707081181,1,0.0,never,0.0,mixed,0.0,-0.7387015013495069,0.0,0,3,2,86.72,1
0.0,0,9,1.0758587650106615,0.7994844144870095,2,0.0,always,0.0,home_compost,0.0,-1.384093339370655,0.0,3,3,1,70.6,1
0.0,2,1,1.0758587650106615,-1.3609827707081181,0,0.0,always,0.0,biomethanation,0.0,-1.384093339370655,0.0,0,3,0,86.3,1
0.0,0,5,-0.7502409792814632,1.4167607531141888,0,0.0,always,0.0,community,0.0,-1.384093339370655,0.0,1,0,2,70.46,1
0.0,1,10,-1.1154609281398882,-1.2066636860513233,1,0.0,sometimes,0.0,home_compost,0.0,-1.384093339370655,0.0,2,0,0,73.5,1
0.0,0,13,-1.1154609281398882,-1.2066636860513233,0,0.0,always,0.0,home_compost,0.0,-1.384093339370655,0.0,2,0,0,73.5,1
0.0,2,9,1.0758587650106615,-1.3609827707081181,2,0.0,never,0.0,collector,0.0,-1.384093339370655,0.0,0,3,1,84.6,1
0.0,1,7,1.0758587650106615,1.108122583800599,1,0.0,sometimes,0.0,collector,0.0,-0.7387015013495069,0.0,0,3,0,76.35,1
0.0,2,11,0.7106388161522366,1.4167607531141888,1,0.0,always,0.0,collector,0.0,-1.384093339370655,0.0,0,3,1,73.0,1
0.0,1,6,0.7106388161522366,1.108122583800599,0,0.0,never,0.0,biomethanation,0.0,-1.384093339370655,0.0,3,3,3,76.99,1
0.0,2,13,-1.1154609281398882,0.7994844144870095,1,0.0,never,0.0,biomethanation,0.0,-1.384093339370655,0.0,3,0,0,74.18,1
0.0,2,6,-1.1154609281398882,1.4167607531141888,2,0.0,sometimes,0.0,community,0.0,-1.384093339370655,0.0,1,0,1,75.72,1
0.0,1,11,-1.1154609281398882,1.2624416684573938,1,0.0,sometimes,0.0,biomethanation,0.0,-1.384093339370655,0.0,1,0,0,80.81,1
0.0,2,10,1.0758587650106615,-1.3609827707081181,0,0.0,sometimes,0.0,collector,0.0,-1.384093339370655,0.0,3,3,1,84.6,1
0.0,1,3,0.7106388161522366,1.2624416684573938,1,0.0,always,0.0,community,0.0,-0.7387015013495069,0.0,0,3,3,77.92,1
0.0,1,9,-1.1154609281398882,-1.3609827707081181,0,0.0,always,0.0,biomethanation,0.0,-0.7387015013495069,0.0,0,0,0,81.26,1
0.0,2,7,-1.1154609281398882,1.2624416684573938,2,0.0,never,0.0,biomethanation,0.0,-1.384093339370655,0.0,3,0,2,72.93,1
0.0,1,3,-1.1154609281398882,-0.7437064320809389,2,0.0,sometimes,0.0,biomethanation,0.0,-0.09330966332835877,0.0,3,0,3,82.75,1
0.0,1,3,-1.1154609281398882,-1.3609827707081181,2,0.0,always,0.0,mixed,0.0,-0.09330966332835877,0.0,2,0,0,84.97,1
0.0,2,12,0.7106388161522366,1.2624416684573938,2,0.0,never,0.0,worm_compost,0.0,1.1974740127139374,0.0,2,3,3,79.57,1
