,bio_waste_forecast,plastic_waste_forecast,e_waste_forecast
2179-02-28,0.35105790641317447,0.37111222896884205,0.33767555030684215
2179-03-31,0.3582947660164487,0.36441552131645727,0.33937306553017166
2179-04-30,0.36090641667131634,0.37558852365412665,0.3456323594720067
2179-05-31,0.3279100235289275,0.40710901842522157,0.35398890775173886
2179-06-30,0.3645677593164856,0.3730658215710546,0.29307572006173416
2179-07-31,0.3866428258806089,0.37747605851301924,0.33259520819646227
2179-08-31,0.34669949200898387,0.40039923729503957,0.3138554130190847
2179-09-30,0.3948393229990509,0.3730629809658177,0.33418410844522195
2179-10-31,0.3651720300211155,0.3725590969763135,0.3146231161519967
2179-11-30,0.3789869575809651,0.36456867308088736,0.34937634683060226
2179-12-31,0.36064542632594787,0.3926463343303342,0.35126585860526144
2180-01-31,0.35022127273666026,0.39720952525778164,0.35566782287128124
