user_email,family_size,house_type,district,milk_packets,deliveries,oil_type,bottles,segregation,food_waste,compost,garden_waste,old_devices,batteries,disposal_method,family_size_encoded,batteries_encoded,milk_per_person,deliveries_per_person,devices_per_person,milk_x_delivery,waste_per_person,milk_packets_zscore,deliveries_zscore,old_devices_zscore,food_waste_zscore,fraud_probability,fraud_flag,fraud_severity,carbon_points,eco_star,fraud_penalty,carbon_trust_score,carbon_level
0.0,0.3333333333333333,0.0,0.6923076923076923,0.3333333333333333,0.4444444444444445,1.0,0.0,0.0,0.0,0.6000000000000001,0.0,1.0,0.0,0.0,1,0,0.3333330000003333,0.4444440000004445,0.999999000001,0.1481481481481481,0.0,0.385553946608497,0.169058646257988,19.73746694984867,0.1861269095902841,21.45,0,NONE,47.01,0,0,47.01,AVERAGE
0.5555,0.3333333333333333,0.0,0.3846153846153846,0.3333333333333333,0.9444444444444444,0.5,1.0,0.5,0.0,0.2,0.0,0.0,0.6666666666666666,0.0,1,2,0.3333330000003333,0.9444435000009443,0.0,0.3148148148148147,0.0,0.385553946608497,1.461673630367675,0.4291666572219338,0.1861269095902841,4.44,0,NONE,80.6,0,0,80.6,EXCELLENT
0.6115,0.3333333333333333,0.5,0.4615384615384615,0.1666666666666666,0.9444444444444444,0.5,1.0,1.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.0,1,1,0.1666665000001666,0.9444435000009443,0.0,0.1574074074074073,0.999999000001,1.1238251879133794,1.461673630367675,0.4291666572219338,0.1861269095902841,4.31,0,NONE,70.52,0,0,70.52,GOOD
0.667,0.6666666666666666,1.0,0.6153846153846154,0.6666666666666666,0.8333333333333333,1.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.3333333333333333,2,3,0.3333331666667499,0.4166664583334374,0.0,0.5555555555555555,0.1666665833333749,1.0909885360012674,1.0992886800064163,0.4291666572219338,0.1861269095902841,8.59,0,NONE,44.03,0,0,44.03,AVERAGE
0.7225,0.6666666666666666,0.5,0.6153846153846154,0.6666666666666666,0.2777777777777777,0.0,1.0,0.5,0.0,1.0,0.3333333333333333,0.0,0.6666666666666666,0.0,2,2,0.3333331666667499,0.1388888194444791,0.0,0.1851851851851851,0.1666665833333749,1.0909885360012674,0.7126360717998762,0.4291666572219338,0.1861269095902841,2.15,0,NONE,78.36,0,0,78.36,GOOD
0.778,0.6666666666666666,0.5,0.2307692307692307,0.6666666666666666,0.3888888888888889,0.5,0.6666666666666666,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.3333331666667499,0.1944443472222708,0.0,0.2592592592592592,0.0,1.0909885360012674,0.3502511214386174,0.4291666572219338,0.1861269095902841,1.95,0,NONE,67.91,0,0,67.91,GOOD
0.8335,0.3333333333333333,0.0,0.7692307692307693,0.1666666666666666,0.1666666666666666,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,1,1,0.1666665000001666,0.1666665000001666,0.0,0.0277777777777777,0.0,1.1238251879133794,1.0750210221611347,0.4291666572219338,0.1861269095902841,0.95,0,NONE,94.4,0,0,94.4,EXCELLENT
0.889,0.3333333333333333,0.0,0.3076923076923077,0.3333333333333333,0.7777777777777777,0.0,0.6666666666666666,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,1,0,0.3333330000003333,0.7777770000007778,0.0,0.2592592592592592,0.3333330000003333,0.385553946608497,0.9180962048257868,0.4291666572219338,0.1861269095902841,1.32,0,NONE,64.93,0,0,64.93,GOOD
0.9445,0.3333333333333333,0.5,0.9230769230769232,0.5,0.0,0.5,1.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,1,2,0.4999995000005,0.0,0.0,0.0,0.3333330000003333,0.3527172946963853,1.6185984477030222,0.4291666572219338,0.1861269095902841,7.0,0,NONE,85.45,0,0,85.45,EXCELLENT
1.0,0.6666666666666666,0.0,0.1538461538461538,0.5,0.8888888888888888,1.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,1.0,2,0,0.2499998750000625,0.4444442222223332,0.0,0.4444444444444444,0.1666665833333749,0.3527172946963853,1.2804811551870456,0.4291666572219338,0.1861269095902841,3.21,0,NONE,33.21,0,0,33.21,POOR
