user_email,family_size,house_type,district,milk_packets,deliveries,oil_type,bottles,segregation,food_waste,compost,garden_waste,old_devices,batteries,disposal_method,family_size_encoded,batteries_encoded,fraud_probability,fraud_flag,carbon_points,fraud_household,carbon_level
0.0,0.3333333333333333,0.0,0.6923076923076923,0.3333333333333333,0.4444444444444445,1.0,0.0,0.0,0.0,0.6000000000000001,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.61968199398367,0.0,52.32974910394267,0,AVERAGE
0.5534351145038168,0.3333333333333333,0.0,0.3846153846153846,0.3333333333333333,0.9444444444444444,0.5,1.0,0.5,0.0,0.2,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.3465119610371007,0.0,84.5878136200717,0,EXCELLENT
0.6112322791712105,0.3333333333333333,0.5,0.4615384615384615,0.1666666666666666,0.9444444444444444,0.5,1.0,1.0,0.0,0.2,0.6666666666666666,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3240223463687151,0.0,79.21146953405022,0,GOOD
0.66793893129771,0.6666666666666666,1.0,0.6153846153846154,0.6666666666666666,0.8333333333333333,1.0,0.3333333333333333,0.0,0.0,0.4,0.3333333333333333,0.0,1.0,0.3333333333333333,0.6666666666666666,1.0,0.6298524566680991,0.0,49.46236559139779,0,AVERAGE
0.7235550708833152,0.6666666666666666,0.5,0.6153846153846154,0.6666666666666666,0.2777777777777777,0.0,1.0,0.5,0.0,1.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.3052571264861767,0.0,82.43727598566304,0,EXCELLENT
0.7758996728462377,0.6666666666666666,0.5,0.2307692307692307,0.6666666666666666,0.3888888888888889,0.5,0.6666666666666666,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.2756052141527002,0.0,59.4982078853047,0,AVERAGE
0.8336968375136314,0.3333333333333333,0.0,0.7692307692307693,0.1666666666666666,0.1666666666666666,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2160148975791433,0.0,97.84946236559144,0,EXCELLENT
0.8865866957470011,0.3333333333333333,0.0,0.3076923076923077,0.3333333333333333,0.7777777777777777,0.0,0.6666666666666666,1.0,0.0,0.0,1.0,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.195673972210285,0.0,60.93189964157705,0,GOOD
0.9443838604143948,0.3333333333333333,0.5,0.9230769230769232,0.5,0.0,0.5,1.0,1.0,0.0,0.6000000000000001,0.6666666666666666,0.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.7405815785704054,0.0,84.94623655913982,0,EXCELLENT
1.0,0.6666666666666666,0.0,0.1538461538461538,0.5,0.8888888888888888,1.0,0.0,1.0,0.0,0.4,0.3333333333333333,0.0833333333333333,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.221028505944707,0.0,39.068100358422946,0,POOR
